week_start,source,skill,job_count
2026-06-15,topcv,Ngôn ngữ lập trình (Python/R),1
2026-06-15,topcv,NoSQL,1
2026-06-15,topcv,Node.js,3
2026-06-15,topcv,Nosql Databases,1
2026-06-15,topcv,Nắm bắt được thông tin hãng/ sản phẩm cạnh tranh,1
2026-06-15,topcv,OOP,1
2026-06-15,topcv,PHP,2
2026-06-15,topcv,Performance Optimization,1
2026-06-15,topcv,Phát Triển Game,1
2026-06-15,topcv,Phân Tích Thị Trường,1
2026-06-15,topcv,Phân Tích Yêu Cầu Nghiệp Vụ,1
2026-06-15,topcv,Phân tích và giải quyết vấn đề,2
2026-06-15,topcv,Phân tích vấn đề,1
2026-06-15,topcv,PostgreSQL,4
2026-06-15,topcv,Power BI),1
2026-06-15,topcv,PowerPoint,1
2026-06-15,topcv,Problem-solving,1
2026-06-15,topcv,Python,8
2026-06-15,topcv,QA,1
2026-06-15,topcv,Quản Lý Dự Án,1
2026-06-15,topcv,Quản Trị Active Directory,1
2026-06-15,topcv,Quản Trị Mạng Cơ Bản,1
2026-06-15,topcv,RESTful APIs,1
2026-06-15,topcv,React,3
2026-06-15,topcv,Redis,3
2026-06-15,topcv,Restful,1
2026-06-15,topcv,SQL,7
2026-06-15,topcv,SQL databases,1
2026-06-15,topcv,Shopify APIs,1
2026-06-15,topcv,Shopify App Development,1
2026-06-15,topcv,Sử Dụng Crm,1
2026-06-15,topcv,Sử Dụng Công Cụ Hỗ Trợ Từ Xa,1
2026-06-15,topcv,Sử Dụng Máy Tính Cơ Bản,1
2026-06-15,topcv,Sử dụng Jira,1
2026-06-15,topcv,Sử dụng nền tảng xã hội như tiktok,1
2026-06-15,topcv,Sử dụng phần mềm Java/Confluence hoặc các công cụ tương tự trong quản lý Dự Án,1
2026-06-15,topcv,Sử dụng phần mềm thiết kế mạch điện,1
2026-06-15,topcv,Tailwindcss,1
2026-06-15,topcv,Teamwork,1
2026-06-15,topcv,Tester,1
2026-06-15,topcv,Thiết kế hệ thống & bản vẽ kỹ thuật,1
2026-06-15,topcv,Thuyết trình,1
2026-06-15,topcv,Thành thạo Visio / Draw.io / BPMN / UML,1
2026-06-15,topcv,Tiếng Anh,1
2026-06-15,topcv,Tiếng Anh cơ bản,1
2026-06-15,topcv,Trung thực,1
2026-06-15,topcv,Trách Nhiệm,1
2026-06-15,topcv,TypeScript,1
2026-06-15,topcv,Tìm hiểu/ hiểu biết về hệ thống đại lý,1
2026-06-15,topcv,Tìm kiếm khách hàng,1
2026-06-15,topcv,Tư Vấn Dịch Vụ,1
2026-06-15,topcv,Tư duy logic,2
2026-06-15,topcv,UI/UX principles,1
2026-06-15,topcv,Viết tài liệu hệ thống,1
2026-06-15,topcv,Vue,1
2026-06-15,topcv,Vue.js,1
2026-06-15,topcv,Woocommerce,1
2026-06-15,topcv,Word,1
2026-06-15,topcv,Xây dựng mối quan hệ,1
2026-06-15,topcv,Xử Lý Lỗi,1
2026-06-15,topcv,Xử Lý Sự Cố Kỹ Thuật,1
2026-06-15,topcv,Xử lý tình huống,1
2026-06-15,topcv,algorithms,1
2026-06-15,topcv,caching mechanisms,1
2026-06-15,topcv,chủ động trong công việc,1
2026-06-15,topcv,facebook,1
2026-06-15,topcv,game mobile,1
2026-06-15,topcv,không nói ngọng,1
2026-06-15,topcv,kỹ năng chăm sóc khách hàng,1
2026-06-15,topcv,kỹ năng quản lý thời gian,1
2026-06-15,topcv,powerpoit...),1
2026-06-15,topcv,youtube,1
2026-06-15,topcv,Đàm phán,1
2026-06-15,topcv,Đọc Hiểu Tài Liệu Kỹ Thuật Tiếng Anh,1
2026-06-15,topcv,Đọc hiểu code,1
2026-06-15,topdev,.NET,1
2026-06-15,topdev,AI,1
2026-06-15,topdev,AWS,2
2026-06-15,topdev,Android,1
2026-06-15,topdev,Angular,1
2026-06-15,topdev,C#,1
2026-06-15,topdev,C#/ Oop/ Net Framwork,1
2026-06-15,topdev,Docker,2
2026-06-15,topdev,Java,2
2026-06-15,topdev,JavaScript,2
2026-06-15,topdev,Kotlin,1
2026-06-15,topdev,Kubernetes,1
2026-06-15,topdev,MySQL,1
2026-06-15,topdev,NestJS,1
2026-06-15,topdev,Node.js,2
2026-06-15,topdev,PostgreSQL,1
2026-06-15,topdev,Python,3
2026-06-15,topdev,React,3
2026-06-15,topdev,React Native,1
2026-06-15,topdev,Redis,1
2026-06-15,topdev,SQL,3
2026-06-15,topdev,Swift,1
2026-06-15,topdev,TypeScript,2
2026-06-15,topdev,iOS,1
2026-06-22,itviec,AI,6
2026-06-22,itviec,API,1
2026-06-22,itviec,AWS,9
2026-06-22,itviec,Agile,1
2026-06-22,itviec,Android,2
