week_start,source,skill,experience_count,experience_min_median,experience_min_min,experience_min_max
2026-06-15,itviec,MLOps,3,5.0,3.0,5.0
2026-06-15,itviec,Machine Learning,9,2.0,1.0,5.0
2026-06-15,itviec,MongoDB,4,0.0,0.0,0.0
2026-06-15,itviec,MySQL,2,2.0,2.0,2.0
2026-06-15,itviec,NLP,2,1.5,1.0,2.0
2026-06-15,itviec,NextJS,2,4.0,4.0,4.0
2026-06-15,itviec,NoSQL,2,1.0,1.0,1.0
2026-06-15,itviec,Node.js,5,2.0,1.0,4.0
2026-06-15,itviec,OOP,3,0.0,0.0,1.0
2026-06-15,itviec,Odoo,1,2.0,2.0,2.0
2026-06-15,itviec,OpenCV,1,0.0,0.0,0.0
2026-06-15,itviec,Playwright,2,3.0,1.0,5.0
2026-06-15,itviec,PostgreSQL,10,2.0,0.0,5.0
2026-06-15,itviec,PyTorch,3,5.0,1.0,5.0
2026-06-15,itviec,Python,41,2.0,0.0,7.0
2026-06-15,itviec,QA,4,3.0,1.0,4.0
2026-06-15,itviec,React,9,4.0,0.0,5.0
2026-06-15,itviec,Redis,2,2.0,2.0,2.0
2026-06-15,itviec,Robot Framework,1,5.0,5.0,5.0
2026-06-15,itviec,SQL,15,2.0,0.0,5.0
2026-06-15,itviec,Security,2,5.0,5.0,5.0
2026-06-15,itviec,Selenium,1,1.0,1.0,1.0
2026-06-15,itviec,Solution Architecture,1,2.0,2.0,2.0
2026-06-15,itviec,System Admin,1,3.0,3.0,3.0
2026-06-15,itviec,TensorFlow,2,1.0,1.0,1.0
2026-06-15,itviec,Tester,1,1.0,1.0,1.0
2026-06-15,itviec,TypeScript,3,1.0,1.0,3.0
2026-06-15,itviec,VMware,1,3.0,3.0,3.0
2026-06-15,itviec,Windows,2,0.0,0.0,0.0
2026-06-15,topcv,(unknown),7,2.0,2.0,3.0
2026-06-15,topcv,.NET,2,1.0,1.0,1.0
2026-06-15,topcv,A/B Testing,1,3.0,3.0,3.0
2026-06-15,topcv,AI,3,2.0,0.0,2.0
2026-06-15,topcv,AI-assisted development tools,1,3.0,3.0,3.0
2026-06-15,topcv,API,1,2.0,2.0,2.0
2026-06-15,topcv,AWS,3,1.0,1.0,5.0
2026-06-15,topcv,Alibaba,1,3.0,3.0,3.0
2026-06-15,topcv,Amazon,1,3.0,3.0,3.0
2026-06-15,topcv,Android,2,3.5,2.0,5.0
2026-06-15,topcv,Android kotlin,1,2.0,2.0,2.0
2026-06-15,topcv,Angular,1,5.0,5.0,5.0
2026-06-15,topcv,AutoCAD,1,1.0,1.0,1.0
2026-06-15,topcv,Azure,3,1.0,1.0,5.0
2026-06-15,topcv,Biết sử dụng SQL để khai thác và phân tích dữ liệu,1,3.0,3.0,3.0
2026-06-15,topcv,C#,2,1.0,1.0,1.0
2026-06-15,topcv,C/C++,2,2.0,2.0,2.0
2026-06-15,topcv,CI/CD,2,2.5,2.0,3.0
2026-06-15,topcv,CSS,1,0.0,0.0,0.0
2026-06-15,topcv,Chăm Sóc Khách Hàng,1,1.0,1.0,1.0
2026-06-15,topcv,Chứng chỉ liên quan của UBCK,1,1.0,1.0,1.0
2026-06-15,topcv,Chứng chỉ tiếng Anh,1,1.0,1.0,1.0
2026-06-15,topcv,Chứng chỉ về network,1,1.0,1.0,1.0
2026-06-15,topcv,Cloud Services,1,3.0,3.0,3.0
2026-06-15,topcv,Communication,1,3.0,3.0,3.0
2026-06-15,topcv,Computer Vision,2,2.0,2.0,2.0
2026-06-15,topcv,Confluence,1,3.0,3.0,3.0
2026-06-15,topcv,Css3,1,0.0,0.0,0.0
2026-06-15,topcv,Cài Đặt Phần Cứng Và Phần Mềm,1,2.0,2.0,2.0
2026-06-15,topcv,Các công cụ trực quan hóa dữ liệu (Tableau,1,1.0,1.0,1.0
2026-06-15,topcv,Data crawling systems,1,3.0,3.0,3.0
2026-06-15,topcv,DevOps,1,5.0,5.0,5.0
2026-06-15,topcv,Docker,2,3.0,3.0,3.0
2026-06-15,topcv,ETL pipelines,1,3.0,3.0,3.0
2026-06-15,topcv,Email,1,1.0,1.0,1.0
2026-06-15,topcv,Etsy,1,3.0,3.0,3.0
2026-06-15,topcv,Excel,1,1.0,1.0,1.0
2026-06-15,topcv,Figma,1,3.0,3.0,3.0
2026-06-15,topcv,GCP,3,1.0,1.0,5.0
2026-06-15,topcv,Giao thức truyền thông IoT,2,2.0,2.0,2.0
2026-06-15,topcv,Giao tiếp và làm việc với các bên liên quan,1,3.0,3.0,3.0
2026-06-15,topcv,Git,1,2.0,2.0,2.0
2026-06-15,topcv,Go,3,3.0,1.0,3.0
2026-06-15,topcv,Go (golang),1,3.0,3.0,3.0
2026-06-15,topcv,Google Places,1,3.0,3.0,3.0
2026-06-15,topcv,GraphQL APIs,1,3.0,3.0,3.0
2026-06-15,topcv,HTML,1,0.0,0.0,0.0
2026-06-15,topcv,Hiểu Biết Về Quản Lý Dự Án,1,1.0,1.0,1.0
2026-06-15,topcv,Hiểu biết về các thiết bị mạng,1,1.0,1.0,1.0
2026-06-15,topcv,Hiểu biết về thiết bị IT,1,1.0,1.0,1.0
2026-06-15,topcv,Hiểu về ngành Chứng khoán và các nghiệp vụ liên quan đến Giao dịch Chứng khoán,1,1.0,1.0,1.0
2026-06-15,topcv,Html5,1,0.0,0.0,0.0
2026-06-15,topcv,Hỗ trợ kiểm thử và trực quan hóa dữ liệu,1,3.0,3.0,3.0
2026-06-15,topcv,Java,6,2.0,1.0,5.0
2026-06-15,topcv,Java Core,1,2.0,2.0,2.0
2026-06-15,topcv,Java Spring,1,2.0,2.0,2.0
2026-06-15,topcv,JavaScript,5,1.0,0.0,5.0
2026-06-15,topcv,Jetpack Compose,1,2.0,2.0,2.0
2026-06-15,topcv,Kinh Nghiệm Làm Việc Với Nhà Thầu,1,1.0,1.0,1.0
2026-06-15,topcv,Kinh nghiệm các dự án thực tế,2,2.0,2.0,2.0
2026-06-15,topcv,Kinh nghiệm làm việc với chủ đầu tư Bất Động Sản,1,1.0,1.0,1.0
2026-06-15,topcv,Kinh nghiệm làm việc với công ty CNTT,1,1.0,1.0,1.0
2026-06-15,topcv,Kinh nghiệm trong mảng cho vay ký quỹ margin,1,1.0,1.0,1.0
2026-06-15,topcv,Kinh nghiệm với các sản phẩm giáo dục hoặc liên quan giáo dục,1,3.0,3.0,3.0
2026-06-15,topcv,Kiến Thức Về Hệ Điều Hành,1,1.0,1.0,1.0
2026-06-15,topcv,Kiến thức cơ bản về dữ liệu và truy vấn dữ liệu,1,1.0,1.0,1.0
2026-06-15,topcv,Kiến thức về các giải pháp CNTT,1,1.0,1.0,1.0
2026-06-15,topcv,Kotlin,2,3.5,2.0,5.0
2026-06-15,topcv,Kĩ năng phân tích tổng hợp,1,3.0,3.0,3.0
2026-06-15,topcv,Kỹ Năng Xây Dựng Giải Pháp,1,1.0,1.0,1.0
2026-06-15,topcv,Kỹ năng giao tiếp,2,1.0,1.0,1.0
2026-06-15,topcv,Kỹ năng kiểm thử sản phẩm phần mềm,1,1.0,1.0,1.0
2026-06-15,topcv,Kỹ năng mềm (excel,1,1.0,1.0,1.0
2026-06-15,topcv,Kỹ năng đàm phán,3,1.0,1.0,1.0
2026-06-15,topcv,Laravel,2,3.0,3.0,3.0
2026-06-15,topcv,Làm Việc Độc Lập Và Nhóm,1,2.0,2.0,2.0
2026-06-15,topcv,Lập Trình Nhúng,2,2.0,2.0,2.0
2026-06-15,topcv,Machine Learning,2,2.0,2.0,2.0
2026-06-15,topcv,Microsoft Excel,1,1.0,1.0,1.0
2026-06-15,topcv,Microsoft Office,1,1.0,1.0,1.0
2026-06-15,topcv,MongoDB,2,3.0,3.0,3.0
2026-06-15,topcv,MySQL,2,3.0,3.0,3.0
2026-06-15,topcv,Ngôn ngữ lập trình (Python/R),1,1.0,1.0,1.0
2026-06-15,topcv,NoSQL,1,2.0,2.0,2.0
2026-06-15,topcv,Node.js,2,3.0,3.0,3.0
2026-06-15,topcv,Nosql Databases,1,3.0,3.0,3.0
2026-06-15,topcv,Nắm bắt được thông tin hãng/ sản phẩm cạnh tranh,1,1.0,1.0,1.0
2026-06-15,topcv,OOP,1,2.0,2.0,2.0
2026-06-15,topcv,PHP,2,3.0,3.0,3.0
2026-06-15,topcv,Performance Optimization,1,3.0,3.0,3.0
2026-06-15,topcv,Phân Tích Yêu Cầu Nghiệp Vụ,1,3.0,3.0,3.0
2026-06-15,topcv,Phân tích và giải quyết vấn đề,2,2.0,1.0,3.0
2026-06-15,topcv,PostgreSQL,3,3.0,3.0,3.0
2026-06-15,topcv,Power BI),1,1.0,1.0,1.0
2026-06-15,topcv,PowerPoint,1,1.0,1.0,1.0
2026-06-15,topcv,Problem-solving,1,3.0,3.0,3.0
2026-06-15,topcv,Python,7,2.0,1.0,3.0
2026-06-15,topcv,QA,1,3.0,3.0,3.0
2026-06-15,topcv,Quản Trị Active Directory,1,2.0,2.0,2.0
2026-06-15,topcv,Quản Trị Mạng Cơ Bản,1,2.0,2.0,2.0
2026-06-15,topcv,RESTful APIs,1,3.0,3.0,3.0
2026-06-15,topcv,React,3,3.0,0.0,5.0
2026-06-15,topcv,Redis,2,3.0,3.0,3.0
2026-06-15,topcv,Restful,1,2.0,2.0,2.0
2026-06-15,topcv,SQL,6,2.0,1.0,5.0
2026-06-15,topcv,SQL databases,1,3.0,3.0,3.0
2026-06-15,topcv,Shopify APIs,1,3.0,3.0,3.0
2026-06-15,topcv,Shopify App Development,1,3.0,3.0,3.0
2026-06-15,topcv,Sử Dụng Công Cụ Hỗ Trợ Từ Xa,1,2.0,2.0,2.0
2026-06-15,topcv,Sử dụng Jira,1,3.0,3.0,3.0
2026-06-15,topcv,Sử dụng nền tảng xã hội như tiktok,1,1.0,1.0,1.0
2026-06-15,topcv,Sử dụng phần mềm Java/Confluence hoặc các công cụ tương tự trong quản lý Dự Án,1,1.0,1.0,1.0
2026-06-15,topcv,Tailwindcss,1,0.0,0.0,0.0
2026-06-15,topcv,Teamwork,1,3.0,3.0,3.0
2026-06-15,topcv,Tester,1,1.0,1.0,1.0
2026-06-15,topcv,Thành thạo Visio / Draw.io / BPMN / UML,1,3.0,3.0,3.0
2026-06-15,topcv,Tiếng Anh,1,0.0,0.0,0.0
2026-06-15,topcv,Tiếng Anh cơ bản,1,1.0,1.0,1.0
2026-06-15,topcv,TypeScript,1,0.0,0.0,0.0
2026-06-15,topcv,Tìm hiểu/ hiểu biết về hệ thống đại lý,1,1.0,1.0,1.0
2026-06-15,topcv,Tư Vấn Dịch Vụ,2,1.0,1.0,1.0
2026-06-15,topcv,Tư duy logic,1,2.0,2.0,2.0
2026-06-15,topcv,UI/UX principles,1,3.0,3.0,3.0
2026-06-15,topcv,Viết tài liệu hệ thống,1,3.0,3.0,3.0
2026-06-15,topcv,Vue,1,5.0,5.0,5.0
2026-06-15,topcv,Vue.js,1,0.0,0.0,0.0
2026-06-15,topcv,Woocommerce,1,3.0,3.0,3.0
2026-06-15,topcv,Word,1,1.0,1.0,1.0
2026-06-15,topcv,Xử Lý Sự Cố Kỹ Thuật,1,2.0,2.0,2.0
2026-06-15,topcv,Xử lý tình huống,2,1.0,1.0,1.0
2026-06-15,topcv,algorithms,1,2.0,2.0,2.0
2026-06-15,topcv,caching mechanisms,1,3.0,3.0,3.0
2026-06-15,topcv,facebook,1,1.0,1.0,1.0
2026-06-15,topcv,kỹ năng chăm sóc khách hàng,1,1.0,1.0,1.0
2026-06-15,topcv,powerpoit...),1,1.0,1.0,1.0
2026-06-15,topcv,youtube,1,1.0,1.0,1.0
2026-06-15,topcv,Đọc Hiểu Tài Liệu Kỹ Thuật Tiếng Anh,1,2.0,2.0,2.0
2026-06-15,topdev,.NET,1,2.0,2.0,2.0
2026-06-15,topdev,AWS,1,2.0,2.0,2.0
2026-06-15,topdev,Android,1,6.0,6.0,6.0
2026-06-15,topdev,Angular,1,2.0,2.0,2.0
2026-06-15,topdev,C#,1,2.0,2.0,2.0
2026-06-15,topdev,C#/ Oop/ Net Framwork,1,2.0,2.0,2.0
2026-06-15,topdev,Docker,2,2.0,2.0,2.0
2026-06-15,topdev,Java,1,6.0,6.0,6.0
2026-06-15,topdev,JavaScript,1,6.0,6.0,6.0
2026-06-15,topdev,Kotlin,1,6.0,6.0,6.0
2026-06-15,topdev,Kubernetes,1,2.0,2.0,2.0
2026-06-15,topdev,MySQL,1,2.0,2.0,2.0
2026-06-15,topdev,NestJS,1,2.0,2.0,2.0
2026-06-15,topdev,Node.js,1,2.0,2.0,2.0
2026-06-15,topdev,PostgreSQL,1,2.0,2.0,2.0
2026-06-15,topdev,Python,1,2.0,2.0,2.0
2026-06-15,topdev,React,2,4.0,2.0,6.0
2026-06-15,topdev,React Native,1,6.0,6.0,6.0
2026-06-15,topdev,Redis,1,2.0,2.0,2.0
2026-06-15,topdev,SQL,2,2.0,2.0,2.0
2026-06-15,topdev,Swift,1,6.0,6.0,6.0
2026-06-15,topdev,TypeScript,2,4.0,2.0,6.0
2026-06-15,topdev,iOS,1,6.0,6.0,6.0
2026-06-22,itviec,AI,4,4.5,2.0,6.0
2026-06-22,itviec,AWS,11,5.0,2.0,7.0
2026-06-22,itviec,Agile,2,5.0,5.0,5.0
2026-06-22,itviec,Android,2,3.5,3.0,4.0
2026-06-22,itviec,Automation Test,1,3.0,3.0,3.0
2026-06-22,itviec,Azure,4,6.5,5.0,7.0
2026-06-22,itviec,Big Data,2,4.0,3.0,5.0
2026-06-22,itviec,C#,1,4.0,4.0,4.0
2026-06-22,itviec,CI/CD,2,2.0,2.0,2.0
2026-06-22,itviec,CSS,1,5.0,5.0,5.0
2026-06-22,itviec,Cloud,3,2.0,2.0,4.0
2026-06-22,itviec,Computer Vision,1,2.0,2.0,2.0
2026-06-22,itviec,DBA,1,3.0,3.0,3.0
2026-06-22,itviec,Data Analysis,2,4.0,3.0,5.0
2026-06-22,itviec,Data Engineer,2,7.0,7.0,7.0
2026-06-22,itviec,Database,4,5.0,3.0,5.0
2026-06-22,itviec,DevOps,2,2.0,2.0,2.0
2026-06-22,itviec,Django,3,4.0,4.0,6.0
2026-06-22,itviec,Docker,7,2.0,2.0,5.0
2026-06-22,itviec,ETL,2,4.0,4.0,4.0
2026-06-22,itviec,English,5,5.0,3.0,6.0
2026-06-22,itviec,FastAPI,2,4.0,4.0,4.0
2026-06-22,itviec,Fullstack,1,3.0,3.0,3.0
2026-06-22,itviec,GCP,7,5.0,2.0,7.0
2026-06-22,itviec,Git,1,2.0,2.0,2.0
2026-06-22,itviec,Go,2,5.0,4.0,6.0
2026-06-22,itviec,Governance,2,2.0,2.0,2.0
2026-06-22,itviec,HTML,4,4.0,3.0,5.0
2026-06-22,itviec,IT Audit,2,2.0,2.0,2.0
2026-06-22,itviec,IT Governance,2,2.0,2.0,2.0
2026-06-22,itviec,IT Support,1,4.0,4.0,4.0
2026-06-22,itviec,JSON,1,2.0,2.0,2.0
2026-06-22,itviec,Java,9,4.0,2.0,6.0
2026-06-22,itviec,JavaScript,3,4.0,3.0,5.0
2026-06-22,itviec,Jira,1,4.0,4.0,4.0
2026-06-22,itviec,Kafka,4,6.5,2.0,7.0
2026-06-22,itviec,Kotlin,2,3.5,3.0,4.0
2026-06-22,itviec,Kubernetes,6,4.0,2.0,5.0
2026-06-22,itviec,LLM,2,5.5,5.0,6.0
2026-06-22,itviec,Machine Learning,1,5.0,5.0,5.0
2026-06-22,itviec,MySQL,1,2.0,2.0,2.0
2026-06-22,itviec,NLP,1,6.0,6.0,6.0
2026-06-22,itviec,NoSQL,1,3.0,3.0,3.0
2026-06-22,itviec,Node.js,3,5.0,3.0,6.0
2026-06-22,itviec,Oracle,2,2.5,2.0,3.0
2026-06-22,itviec,PHP,1,5.0,5.0,5.0
2026-06-22,itviec,Pandas,1,5.0,5.0,5.0
2026-06-22,itviec,PostgreSQL,4,3.5,2.0,4.0
2026-06-22,itviec,Power BI,2,4.0,3.0,5.0
