week_start,source,skill,experience_count,experience_min_median,experience_min_min,experience_min_max
2026-05-25,itviec,Solution Architecture,2,6.5,1.0,12.0
2026-05-25,itviec,Splunk,1,3.0,3.0,3.0
2026-05-25,itviec,Spring,4,2.5,2.0,5.0
2026-05-25,itviec,Spring Boot,2,6.0,4.0,8.0
2026-05-25,itviec,Swift,3,8.0,4.0,8.0
2026-05-25,itviec,System Admin,4,3.5,2.0,8.0
2026-05-25,itviec,System Architecture,2,6.5,1.0,12.0
2026-05-25,itviec,Tailwind,1,5.0,5.0,5.0
2026-05-25,itviec,Team Management,5,5.0,3.0,12.0
2026-05-25,itviec,TensorFlow,2,3.0,3.0,3.0
2026-05-25,itviec,TypeScript,6,4.5,3.0,8.0
2026-05-25,itviec,UI-UX,3,4.0,3.0,5.0
2026-05-25,itviec,Vue,4,3.5,2.0,8.0
2026-05-25,itviec,Web API,1,4.0,4.0,4.0
2026-05-25,itviec,Web3.js,1,3.0,3.0,3.0
2026-05-25,itviec,iOS,4,6.0,3.0,8.0
2026-05-25,itviec,scikit-learn,1,3.0,3.0,3.0
2026-05-25,topcv,(unknown),1,3.0,3.0,3.0
2026-05-25,topcv,AI Vibe-coding,1,2.0,2.0,2.0
2026-05-25,topcv,Am hiểu công nghệ thông tin,1,1.0,1.0,1.0
2026-05-25,topcv,Bằng tốt nghiệp loại Khá hoặc Giỏi,1,2.0,2.0,2.0
2026-05-25,topcv,Clean code structure,1,2.0,2.0,2.0
2026-05-25,topcv,Component design,1,2.0,2.0,2.0
2026-05-25,topcv,DevSecOps,1,1.0,1.0,1.0
2026-05-25,topcv,Giao tiếp,1,1.0,1.0,1.0
2026-05-25,topcv,GitHub Copilot,1,2.0,2.0,2.0
2026-05-25,topcv,Hiểu Biết Về An Ninh Mạng (cyber Security),1,1.0,1.0,1.0
2026-05-25,topcv,Kinh Nghiệm Bán Hàng Tư Vấn Giải Pháp Cntt (cyber Security),1,1.0,1.0,1.0
2026-05-25,topcv,Kinh nghiệm dự án công nghệ thực tế,1,2.0,2.0,2.0
2026-05-25,topcv,Kiến Thức Về An Toàn Thông Tin,1,1.0,1.0,1.0
2026-05-25,topcv,Kỹ Năng Triển Khai Phần Mềm,2,1.0,1.0,1.0
2026-05-25,topcv,Kỹ năng bán hàng,1,1.0,1.0,1.0
2026-05-25,topcv,Kỹ năng giao tiếp,2,1.0,1.0,1.0
2026-05-25,topcv,Kỹ năng giải quyết vấn đề,2,1.0,1.0,1.0
2026-05-25,topcv,Kỹ năng làm việc nhóm,2,1.0,1.0,1.0
2026-05-25,topcv,Radix UI,1,2.0,2.0,2.0
2026-05-25,topcv,React,1,2.0,2.0,2.0
2026-05-25,topcv,React 18 functional components,1,2.0,2.0,2.0
2026-05-25,topcv,Responsive Design,1,2.0,2.0,2.0
2026-05-25,topcv,Tailwind Css,1,2.0,2.0,2.0
2026-05-25,topcv,Thuyết trình,1,1.0,1.0,1.0
2026-05-25,topcv,Tiếng Anh,1,1.0,1.0,1.0
2026-05-25,topcv,TypeScript,1,2.0,2.0,2.0
2026-05-25,topcv,TypeScript strict,1,2.0,2.0,2.0
2026-05-25,topcv,Xây dựng mối quan hệ,1,1.0,1.0,1.0
2026-05-25,topcv,custom hooks,1,2.0,2.0,2.0
2026-05-25,topcv,Đàm phán,1,1.0,1.0,1.0
2026-06-01,itviec,.NET,12,4.0,1.0,7.0
2026-06-01,itviec,AI,29,2.0,0.0,8.0
2026-06-01,itviec,API,11,5.0,1.0,7.0
2026-06-01,itviec,ARM Cortex,1,2.0,2.0,2.0
2026-06-01,itviec,ASP.NET,4,4.0,4.0,5.0
2026-06-01,itviec,AWS,41,5.0,0.0,10.0
2026-06-01,itviec,Agile,11,3.0,0.0,6.0
2026-06-01,itviec,Android,7,2.0,0.0,6.0
2026-06-01,itviec,Angular,11,5.0,1.0,7.0
2026-06-01,itviec,Apache Airflow,2,7.0,7.0,7.0
2026-06-01,itviec,Apache Struts,1,5.0,5.0,5.0
2026-06-01,itviec,Automation Test,6,2.5,2.0,5.0
2026-06-01,itviec,Azure,30,3.5,0.0,7.0
2026-06-01,itviec,BLE,1,2.0,2.0,2.0
2026-06-01,itviec,BPMN,1,3.0,3.0,3.0
2026-06-01,itviec,BRD,1,5.0,5.0,5.0
2026-06-01,itviec,Big Data,1,3.0,3.0,3.0
2026-06-01,itviec,Blockchain,3,2.0,0.0,3.0
2026-06-01,itviec,Bridge Engineer,1,2.0,2.0,2.0
2026-06-01,itviec,Business Analysis,11,3.0,1.0,5.0
2026-06-01,itviec,Business Intelligence,1,3.0,3.0,3.0
2026-06-01,itviec,C#,8,3.0,1.0,7.0
2026-06-01,itviec,C++,1,2.0,2.0,2.0
2026-06-01,itviec,CI/CD,15,3.0,0.0,8.0
2026-06-01,itviec,CSS,3,5.0,1.0,6.0
2026-06-01,itviec,Clean Architecture,1,3.0,3.0,3.0
2026-06-01,itviec,Cloud,13,3.0,0.0,7.0
2026-06-01,itviec,Cloud Security,3,4.0,1.0,5.0
2026-06-01,itviec,CloudFormation,2,5.5,5.0,6.0
2026-06-01,itviec,Computer Vision,1,3.0,3.0,3.0
2026-06-01,itviec,Cybersecurity,1,3.0,3.0,3.0
2026-06-01,itviec,DBT,1,1.0,1.0,1.0
2026-06-01,itviec,Dart,3,5.0,0.0,6.0
2026-06-01,itviec,Data Analysis,9,2.0,1.0,5.0
2026-06-01,itviec,Data Engineer,5,7.0,5.0,7.0
2026-06-01,itviec,Data Privacy / Compliance,2,1.0,1.0,1.0
2026-06-01,itviec,Data Quality Tools,2,2.0,1.0,3.0
2026-06-01,itviec,Data Science,6,1.0,1.0,2.0
2026-06-01,itviec,Data Warehousing,2,3.0,1.0,5.0
2026-06-01,itviec,Data modeling,3,7.0,3.0,7.0
2026-06-01,itviec,Data-driven,1,1.0,1.0,1.0
2026-06-01,itviec,Database,7,4.0,1.0,7.0
2026-06-01,itviec,Databricks,1,1.0,1.0,1.0
2026-06-01,itviec,Deep Learning,1,2.0,2.0,2.0
2026-06-01,itviec,Design,1,0.0,0.0,0.0
2026-06-01,itviec,Design Systems,1,5.0,5.0,5.0
2026-06-01,itviec,DevOps,34,4.0,0.0,10.0
2026-06-01,itviec,DevSecOps,4,3.5,0.0,6.0
2026-06-01,itviec,Digital Forensics,1,4.0,4.0,4.0
2026-06-01,itviec,Docker,33,4.0,0.0,10.0
2026-06-01,itviec,DynamoDB,2,7.5,5.0,10.0
2026-06-01,itviec,ELT,3,7.0,5.0,7.0
2026-06-01,itviec,ERP,3,2.0,1.0,3.0
2026-06-01,itviec,ETL,2,3.0,1.0,5.0
2026-06-01,itviec,Elixir,1,4.0,4.0,4.0
2026-06-01,itviec,Embedded,2,3.5,2.0,5.0
2026-06-01,itviec,Embedded C,1,5.0,5.0,5.0
2026-06-01,itviec,English,24,4.0,0.0,8.0
2026-06-01,itviec,Event-Driven Architecture,1,10.0,10.0,10.0
2026-06-01,itviec,FastAPI,1,0.0,0.0,0.0
2026-06-01,itviec,Figma,1,5.0,5.0,5.0
2026-06-01,itviec,Firebase,1,5.0,5.0,5.0
2026-06-01,itviec,Firewall,1,3.0,3.0,3.0
2026-06-01,itviec,Firmware,1,2.0,2.0,2.0
2026-06-01,itviec,Flutter,5,5.0,0.0,10.0
2026-06-01,itviec,Fresher Accepted,3,1.0,1.0,1.0
2026-06-01,itviec,Fullstack,6,6.0,4.0,7.0
2026-06-01,itviec,GCP,16,4.5,1.0,7.0
2026-06-01,itviec,Git,5,2.0,0.0,3.0
2026-06-01,itviec,Go,13,4.0,2.0,10.0
2026-06-01,itviec,Governance,2,3.0,1.0,5.0
2026-06-01,itviec,GraphQL,2,7.5,5.0,10.0
2026-06-01,itviec,HTML,3,2.0,1.0,6.0
2026-06-01,itviec,HTML5,1,5.0,5.0,5.0
2026-06-01,itviec,Hardware Design,1,2.0,2.0,2.0
2026-06-01,itviec,Hibernate,1,5.0,5.0,5.0
2026-06-01,itviec,ISO 27001,1,3.0,3.0,3.0
2026-06-01,itviec,IT Governance,2,3.0,1.0,5.0
2026-06-01,itviec,IT Support,2,5.5,5.0,6.0
2026-06-01,itviec,ITIL Foundation,1,5.0,5.0,5.0
2026-06-01,itviec,Incident Response,2,3.5,3.0,4.0
2026-06-01,itviec,Information Security,2,5.5,5.0,6.0
2026-06-01,itviec,Integration test,1,5.0,5.0,5.0
2026-06-01,itviec,Internship Accepted,11,0.0,0.0,2.0
2026-06-01,itviec,IoT,2,2.5,2.0,3.0
2026-06-01,itviec,Ionic,1,2.0,2.0,2.0
2026-06-01,itviec,JSON,1,0.0,0.0,0.0
2026-06-01,itviec,Japanese,2,3.5,2.0,5.0
2026-06-01,itviec,Japanese IT Communication,1,2.0,2.0,2.0
2026-06-01,itviec,Java,29,3.0,0.0,10.0
2026-06-01,itviec,JavaScript,20,3.5,1.0,7.0
2026-06-01,itviec,Jenkins,1,5.0,5.0,5.0
2026-06-01,itviec,Jira,6,3.0,2.0,5.0
2026-06-01,itviec,Kafka,3,3.0,2.0,7.0
2026-06-01,itviec,Kanban,1,2.0,2.0,2.0
2026-06-01,itviec,Keras,1,2.0,2.0,2.0
2026-06-01,itviec,Kotlin,2,2.5,2.0,3.0
2026-06-01,itviec,Kubernetes,17,5.0,0.0,7.0
2026-06-01,itviec,LLM,5,1.0,0.0,3.0
2026-06-01,itviec,Laravel,1,2.0,2.0,2.0
2026-06-01,itviec,Leadership,5,7.0,5.0,7.0
2026-06-01,itviec,Linux,11,2.0,0.0,8.0
2026-06-01,itviec,MLOps,2,1.5,0.0,3.0
2026-06-01,itviec,MVC,2,3.5,2.0,5.0
2026-06-01,itviec,Machine Learning,7,1.0,1.0,3.0
2026-06-01,itviec,Malware Analysis,1,4.0,4.0,4.0
2026-06-01,itviec,Matlab,1,2.0,2.0,2.0
2026-06-01,itviec,Microservices,4,5.0,3.0,7.0
2026-06-01,itviec,Microsoft SQL Server,2,3.5,2.0,5.0
2026-06-01,itviec,Mobile Apps,2,3.5,2.0,5.0
2026-06-01,itviec,MongoDB,6,3.5,0.0,7.0
2026-06-01,itviec,MySQL,16,3.0,1.0,10.0
2026-06-01,itviec,NLP,1,3.0,3.0,3.0
2026-06-01,itviec,NestJS,1,3.0,3.0,3.0
2026-06-01,itviec,NextJS,3,7.0,4.0,7.0
2026-06-01,itviec,NoSQL,2,4.5,3.0,6.0
2026-06-01,itviec,Node.js,16,5.0,2.0,10.0
2026-06-01,itviec,OOP,3,2.0,1.0,5.0
2026-06-01,itviec,Oracle,7,2.0,0.0,7.0
2026-06-01,itviec,PHP,4,2.0,1.0,6.0
2026-06-01,itviec,Playwright,1,3.0,3.0,3.0
2026-06-01,itviec,PostgreSQL,19,3.0,0.0,10.0
2026-06-01,itviec,Postman,2,3.5,3.0,4.0
2026-06-01,itviec,Power Automate,1,1.0,1.0,1.0
2026-06-01,itviec,Power BI,8,1.5,1.0,5.0
2026-06-01,itviec,Presale,3,3.0,0.0,3.0
2026-06-01,itviec,Product Design,2,3.0,1.0,5.0
2026-06-01,itviec,Product Management,4,2.5,2.0,5.0
2026-06-01,itviec,Product Owner,3,3.0,2.0,5.0
2026-06-01,itviec,Product strategy,1,1.0,1.0,1.0
2026-06-01,itviec,Project Management,4,4.0,2.0,5.0
2026-06-01,itviec,Prompt Engineering,2,1.0,1.0,1.0
2026-06-01,itviec,Python,48,2.0,0.0,10.0
2026-06-01,itviec,QA,8,3.0,0.0,8.0
2026-06-01,itviec,QA QC,11,3.0,0.0,8.0
2026-06-01,itviec,QlikView,2,3.0,1.0,5.0
2026-06-01,itviec,React,20,4.0,1.0,10.0
2026-06-01,itviec,React Native,2,5.0,5.0,5.0
2026-06-01,itviec,Redis,6,4.5,3.0,10.0
2026-06-01,itviec,Risk & Compliance,2,3.0,1.0,5.0
2026-06-01,itviec,Risk Management,3,4.0,1.0,5.0
2026-06-01,itviec,Robot Framework,3,2.0,2.0,3.0
2026-06-01,itviec,Robotic Process Automation (RPA),1,0.0,0.0,0.0
2026-06-01,itviec,SAP,1,6.0,6.0,6.0
2026-06-01,itviec,SIEM,2,3.0,2.0,4.0
