week_start,source,skill,salary_currency,salary_count,salary_midpoint_median,salary_midpoint_min,salary_midpoint_max
2026-06-01,itviec,AWS,VND,1,50000000,50000000,50000000
2026-06-01,itviec,AWS,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,Agile,USD,2,975,350,1600
2026-06-01,itviec,Android,USD,1,1200,1200,1200
2026-06-01,itviec,Angular,USD,4,1950,1200,2500
2026-06-01,itviec,Angular,VND,1,30000000,30000000,30000000
2026-06-01,itviec,Apache Airflow,USD,2,3250,3250,3250
2026-06-01,itviec,Apache Struts,USD,1,1600,1600,1600
2026-06-01,itviec,Automation Test,USD,2,350,350,350
2026-06-01,itviec,Azure,USD,7,1500,1300,3300
2026-06-01,itviec,Azure,VND,1,50000000,50000000,50000000
2026-06-01,itviec,Blockchain,USD,4,350,350,2000
2026-06-01,itviec,Business Analysis,USD,1,1050,1050,1050
2026-06-01,itviec,Business Analysis,VND,1,16500000,16500000,16500000
2026-06-01,itviec,C#,USD,2,2900,2500,3300
2026-06-01,itviec,C#,VND,1,50000000,50000000,50000000
2026-06-01,itviec,C#,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,CI/CD,USD,5,2500,1500,3300
2026-06-01,itviec,CSS,USD,1,1250,1250,1250
2026-06-01,itviec,CSS,VND,1,30000000,30000000,30000000
2026-06-01,itviec,Cloud,USD,5,350,350,3250
2026-06-01,itviec,Cloud,VND,1,50000000,50000000,50000000
2026-06-01,itviec,CloudFormation,USD,1,3000,3000,3000
2026-06-01,itviec,Cybersecurity,USD,1,1350,1350,1350
2026-06-01,itviec,DBT,USD,2,1699,1699,1699
2026-06-01,itviec,Data Analysis,USD,2,1699,1699,1699
2026-06-01,itviec,Data Analysis,VND,1,20000000,20000000,20000000
2026-06-01,itviec,Data Analysis,unknown,1,37500000,37500000,37500000
2026-06-01,itviec,Data Engineer,USD,5,3250,3250,3300
2026-06-01,itviec,Data Privacy / Compliance,VND,1,20000000,20000000,20000000
2026-06-01,itviec,Data modeling,USD,2,3250,3250,3250
2026-06-01,itviec,Data-driven,USD,1,1050,1050,1050
2026-06-01,itviec,Database,USD,1,3300,3300,3300
2026-06-01,itviec,Design,USD,1,300,300,300
2026-06-01,itviec,Design Systems,USD,1,1250,1250,1250
2026-06-01,itviec,DevOps,USD,12,1725,350,3300
2026-06-01,itviec,DevOps,VND,2,55000000,50000000,60000000
2026-06-01,itviec,DevSecOps,USD,1,1500,1500,1500
2026-06-01,itviec,Docker,USD,10,1975,1100,3300
2026-06-01,itviec,Docker,VND,1,60000000,60000000,60000000
2026-06-01,itviec,Docker,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,DynamoDB,USD,2,5500,4000,7000
2026-06-01,itviec,ELT,USD,2,3250,3250,3250
2026-06-01,itviec,ERP,VND,1,16500000,16500000,16500000
2026-06-01,itviec,English,USD,5,1400,300,3250
2026-06-01,itviec,English,VND,2,33250000,16500000,50000000
2026-06-01,itviec,Event-Driven Architecture,USD,1,7000,7000,7000
2026-06-01,itviec,Figma,USD,1,1250,1250,1250
2026-06-01,itviec,Firewall,USD,1,1350,1350,1350
2026-06-01,itviec,Flutter,VND,1,60000000,60000000,60000000
2026-06-01,itviec,Fullstack,USD,2,1950,1950,1950
2026-06-01,itviec,GCP,USD,2,2225,1950,2500
2026-06-01,itviec,Go,USD,4,1975,1950,3250
2026-06-01,itviec,Go,VND,2,38250000,16500000,60000000
2026-06-01,itviec,Google BigQuery,USD,2,1699,1699,1699
2026-06-01,itviec,Governance,VND,1,20000000,20000000,20000000
2026-06-01,itviec,GraphQL,USD,2,5500,4000,7000
2026-06-01,itviec,HTML,USD,1,1100,1100,1100
2026-06-01,itviec,HTML,VND,1,30000000,30000000,30000000
2026-06-01,itviec,HTML5,USD,1,1250,1250,1250
2026-06-01,itviec,Hibernate,USD,1,1600,1600,1600
2026-06-01,itviec,ISO 27001,USD,1,1350,1350,1350
2026-06-01,itviec,IT Governance,VND,1,20000000,20000000,20000000
2026-06-01,itviec,Incident Response,USD,1,1350,1350,1350
2026-06-01,itviec,Internship Accepted,USD,8,350,300,500
2026-06-01,itviec,IoT,VND,1,16500000,16500000,16500000
2026-06-01,itviec,Ionic,USD,1,1200,1200,1200
2026-06-01,itviec,Java,USD,8,850,350,2250
2026-06-01,itviec,Java,VND,2,45000000,30000000,60000000
2026-06-01,itviec,JavaScript,USD,9,1500,350,4000
2026-06-01,itviec,JavaScript,VND,1,30000000,30000000,30000000
2026-06-01,itviec,JavaScript,unknown,1,40000000,40000000,40000000
2026-06-01,itviec,Jira,USD,1,1300,1300,1300
2026-06-01,itviec,Jira,VND,1,20000000,20000000,20000000
2026-06-01,itviec,Kafka,USD,2,1550,1100,2000
2026-06-01,itviec,Kubernetes,USD,5,3000,1950,3250
2026-06-01,itviec,Leadership,USD,3,3250,1950,3250
2026-06-01,itviec,Linux,USD,5,350,350,3000
2026-06-01,itviec,MVC,VND,1,50000000,50000000,50000000
